,Nombre,Precio,Var%,Max,Min,Fecha
0,ACCIONA,"143,9000","0,49","144,7000","140,8000",2021-10-01 20:39:26.919733
1,ACERINOX,"11,0100","-0,72","11,1700","10,6100",2021-10-01 20:39:26.926737
2,ACS,"23,2400","-0,90","23,4300","22,8800",2021-10-01 20:39:26.932738
3,AENA,"149,7000","0,27","150,3000","147,1000",2021-10-01 20:39:26.934847
4,ALMIRALL,"13,4500","-1,97","13,8300","13,3900",2021-10-01 20:39:26.940534
5,AMADEUS,"58,0200","2,00","58,0200","55,0000",2021-10-01 20:39:26.945290
6,ARCELORMIT.,"25,1550","-4,81","25,7850","24,9300",2021-10-01 20:39:26.952760
7,B.SANTANDER,"3,1235","-0,41","3,1410","3,0415",2021-10-01 20:39:26.958762
8,BA.SABADELL,"0,7094","-2,23","0,7258","0,7010",2021-10-01 20:39:26.963764
9,BANKINTER,"5,0520","-0,32","5,0520","4,9600",2021-10-01 20:39:26.968764
10,BBVA,"5,6330","-1,47","5,6460","5,5110",2021-10-01 20:39:26.976772
11,CAIXABANK,"2,6350","-1,83","2,6580","2,6100",2021-10-01 20:39:26.981913
12,CELLNEX,"53,6600","0,68","54,1000","52,9200",2021-10-01 20:39:26.986696
13,CIE AUTOMOT.,"21,3600","-1,93","21,6000","21,1600",2021-10-01 20:39:26.995592
14,ENAGAS,"19,2550","0,26","19,3000","19,0000",2021-10-01 20:39:27.003594
15,ENDESA,"17,6000","1,03","17,7100","17,2800",2021-10-01 20:39:27.008988
16,FERROVIAL,"25,4300","0,79","25,4300","24,3400",2021-10-01 20:39:27.012272
17,FLUIDRA,"33,8500","-1,74","34,1000","33,4500",2021-10-01 20:39:27.019492
18,GRIFOLS CL.A,"21,1900","0,52","21,1900","20,7900",2021-10-01 20:39:27.024998
19,IAG,"2,1930","5,43","2,1930","1,9830",2021-10-01 20:39:27.033868
20,IBERDROLA,"8,7280","0,51","8,7860","8,5860",2021-10-01 20:39:27.039872
21,INDITEX,"32,0200","0,63","32,0400","31,3200",2021-10-01 20:39:27.044871
22,INDRA A,"9,1850","-1,02","9,2200","9,0200",2021-10-01 20:39:27.046982
23,INM.COLONIAL,"8,4650","1,01","8,5750","7,9300",2021-10-01 20:39:27.054861
24,MAPFRE,"1,8855","0,03","1,9020","1,8525",2021-10-01 20:39:27.059861
25,MELIA HOTELS,"6,8080","5,88","6,8080","6,2520",2021-10-01 20:39:27.065858
26,MERLIN,"9,1080","2,66","9,1600","8,7520",2021-10-01 20:39:27.067972
27,NATURGY,"21,8000","0,23","21,8000","21,6000",2021-10-01 20:39:27.073107
28,PHARMA MAR,"71,9600","-3,38","74,3600","71,6000",2021-10-01 20:39:27.077818
29,R.E.C.,"17,3450","0,20","17,3800","17,1700",2021-10-01 20:39:27.085845
30,REPSOL,"11,3180","0,18","11,3780","11,0560",2021-10-01 20:39:27.090845
31,SIEMENS GAME,"21,0100","-4,59","22,0200","20,6700",2021-10-01 20:39:27.093925
32,SOLARIA,"13,9000","1,65","14,0800","13,4500",2021-10-01 20:39:27.098538
33,TELEFONICA,"3,9975","-1,22","4,0375","3,9730",2021-10-01 20:39:27.103292
34,VISCOFAN,"56,1000","-0,80","56,8000","55,5000",2021-10-01 20:39:27.110925
