Open,High,Low,Close,Volume,Currency
900.05,921.0,884.0,884.0,256452,ARS
892.0,905.0,880.0,891.35,118742,ARS
870.05,889.0,865.0,872.9,94057,ARS
872.0,878.0,859.0,872.4,37650,ARS
880.55,947.0,880.55,941.0,320402,ARS
930.1,938.65,900.0,919.0,155716,ARS
940.0,957.95,917.3,942.0,241611,ARS
941.0,941.95,915.3,932.0,161847,ARS
1001.0,1038.0,952.55,965.0,494832,ARS
967.95,970.5,930.0,949.0,145351,ARS
961.9,980.0,930.4,952.0,147702,ARS
927.95,971.0,915.0,960.5,133080,ARS
947.05,950.85,921.1,932.95,182477,ARS
893.95,893.95,866.0,884.0,162008,ARS
879.95,890.0,852.0,872.0,136814,ARS
891.05,900.0,866.0,874.0,136324,ARS
876.05,888.55,860.0,870.0,102615,ARS
865.1,880.0,852.05,863.9,70391,ARS
876.1,902.0,876.1,897.0,132113,ARS
901.0,915.0,883.1,907.9,78300,ARS
910.0,912.0,890.0,893.0,117175,ARS
894.0,927.0,894.0,913.1,145665,ARS
924.95,924.95,900.0,915.0,83234,ARS
